-298, 365, 955
-337, 119, 1053
-441, -4, 1174
-603, -256, 1099
-711, -475, 949
-702, -990, 763
-781, -1481, 691
-887, -1678, 570
-998, -1704, 131
-1092, -1631, -104
-1134, -1559, -38
-1129, -1497, 36
-1130, -1287, 139
-1175, -949, 124
-1254, -650, 227
-1303, -502, 400
-1340, -416, 583
-1259, -471, 554
-916, -534, 510
-735, -324, 244
-574, -17, 261
-574, -17, 261
-365, 142, 698
-247, 321, 752
-135, 630, 655
-61, 933, 459
-,-,-
-822, 32, 209
-899, 46, 232
-919, 215, -55
-900, 250, -206
-779, 72, 86
-779, 72, 86
-698, -81, 199
-607, -167, -139
-476, -395, -577
-357, -639, -658
-173, -814, -113
-74, -815, 79
-66, -668, -10
-170, -552, 615
-415, -126, 1468
-553, 259, 1996
-553, 259, 1996
-587, 484, 1998
-594, 757, 1998
-579, 867, 1998
-531, 914, 1998
-500, 982, 1998
-469, 987, 1964
-421, 945, 1643
-260, 708, 1377
-97, 312, 1200
-43, -169, 1000
-195, -467, 755
-195, -467, 755
-471, -637, 595
-702, -830, 486
-860, -1170, 563
-987, -1625, 252
-1064, -1978, -218
-1184, -1998, -217
-1289, -1994, -1
-1321, -1770, 305
-1364, -1448, 399
-1440, -1049, 390
-1455, -800, 448
-1457, -581, 475
-1386, -314, 566
-1232, -153, 458
-921, -113, 282
-528, -333, 310
-176, -363, 536
-12, -3, 1022
-,-,-
-714, -116, 66
-640, -305, -77
-640, -305, -77
-547, -341, -200
-477, -358, -239
-477, -364, -141
-479, -328, 104
-494, -283, 353
-531, -256, 396
-587, -207, 320
-650, -84, 586
-672, 135, 1318
-649, 314, 1910
-627, 607, 1966
-593, 691, 1810
-503, 501, 1781
-503, 501, 1781
-449, 427, 1841
-419, 390, 1770
-477, 515, 1683
-511, 575, 1603
-475, 546, 1493
-386, 437, 1383
-346, 204, 1253
-362, -181, 1067
-424, -501, 863
-452, -762, 678
-483, -1012, 510
-529, -1310, 405
-652, -1542, 167
-794, -1702, -1
-794, -1702, -1
-971, -1757, -24
-1137, -1718, 74
-1268, -1591, 143
-1350, -1436, 232
-1383, -1324, 308
-1464, -1202, 366
-1517, -1160, 430
-1472, -1040, 444
-1055, -535, -148
-773, -297, 282
-773, -297, 282
-503, -168, 684
-348, 27, 659
-238, 299, 582
-59, 406, 539
39, 597, 670
-,-,-
-973, 148, 803
-880, 209, 571
-904, 273, -41
-755, 56, -138
-755, 56, -138
-510, -272, 27
-392, -551, -430
-364, -622, -764
-449, -463, -504
-431, -438, 318
-351, -554, 413
-271, -481, 104
-260, -343, 175
-375, -75, 570
-502, 72, 817
-502, 72, 817
-577, 65, 1158
-664, 70, 1657
-729, 60, 1793
-731, 77, 1846
-729, 207, 1981
-713, 479, 1998
-655, 667, 1998
-655, 667, 1998
-536, 809, 1944
-364, 709, 1935
-184, 493, 1754
-134, 435, 1418
-163, 324, 1133
-268, 219, 941
-276, -20, 1078
-234, -296, 1183
-345, -488, 794
-535, -702, 380
-691, -1035, 221
-760, -1417, 451
-845, -1794, 286
-845, -1794, -57
-978, -1967, -57
-1069, -1998, -192
-1136, -1814, 221
-1143, -1542, 225
-1182, -1151, 246
-1203, -848, 334
-1175, -671, 419
-1124, -553, 433
-1043, -515, 446
-914, -358, 431
-914, -358, 431
-711, -109, 463
-528, 128, 573
-343, 342, 664
-135, 460, 810
-35, 778, 771
-,-,-
-658, -203, 276
-836, -139, -244
-833, -109, -234
-682, -163, 74
-533, -250, 81
-462, -289, -61
-422, -340, -382
-371, -519, -315
-335, -712, 211
-389, -629, 543
-492, -392, 514
-544, -275, 465
-642, -32, 912
-642, -32, 912
-645, 0, 1708
-691, -43, 1707
-738, 139, 1591
-748, 246, 1837
-653, 301, 1998
-516, 314, 1998
-433, 338, 1937
-344, 385, 1810
-234, 383, 1702
-234, 383, 1702
-157, 386, 1653
-128, 350, 1495
-150, 205, 1162
-201, 20, 970
-199, -248, 840
-206, -758, 595
-417, -1066, 269
-727, -1100, 67
-974, -1309, 36
-1075, -1697, 6
-1067, -1998, 20
-1157, -1998, -94
-1261, -1974, 63
-1295, -1674, 210
-1276, -1336, 349
-1229, -1134, 399
-1215, -918, 393
-1232, -712, 303
-1222, -567, 295
-1076, -557, 331
-859, -436, 317
-859, -436, 317
-663, -162, 189
-468, 94, 275
-331, 376, 504
-210, 558, 668
-104, 571, 765
-68, 643, 623
-,-,-
-907, 67, -170
-806, 1, -118
-806, 1, -118
-602, -291, -183
-450, -480, -647
-368, -565, -751
-314, -555, -389
-277, -488, -66
-286, -526, 59
-360, -464, 207
-368, -485, 346
-444, -517, 667
-588, -402, 1411
-712, -274, 1723
-787, -80, 1905
-800, 161, 1998
-800, 161, 1998
-750, 309, 1998
-618, 337, 1968
-454, 314, 1747
-324, 500, 1536
-223, 584, 1465
-110, 514, 1517
-30, 384, 1449
-19, 203, 1385
-69, 169, 1268
-69, 169, 1268
-157, 145, 1130
-258, -18, 1080
-353, -333, 1113
-455, -611, 956
-524, -788, 773
-623, -1095, 622
-738, -1492, 546
-789, -1919, 418
-889, -1984, 259
-1007, -1871, 66
-1069, -1773, 19
-1104, -1674, 210
-1084, -1597, 257
-1059, -1406, 284
-1090, -1080, 320
-1090, -850, 313
-1074, -685, 455
-1046, -620, 574
-1021, -607, 550
-942, -483, 463
-858, -371, 446
-736, -211, 502
-575, -49, 528
-575, -49, 528
-409, 36, 360
-290, 272, 213
-230, 468, 241
-195, 640, 502
-167, 758, 732
-170, 740, 656
-213, 662, 484
-,-,-
-693, -40, 136
-623, -80, 193
-670, 18, 283
-667, 21, 40
-603, -30, -46
-602, -73, -260
-602, -73, -260
-598, -157, -107
-555, -281, 87
-494, -395, -87
-427, -464, -305
-413, -425, -298
-456, -275, 63
-437, -240, 575
-423, -303, 503
-492, -219, 572
-580, -102, 1377
-720, 84, 1986
-884, 459, 1998
-884, 459, 1998
